route_number,day_type,Civic Centre,Adderley,Lower Plein,Lower Buitenkant,Roeland,Roodehek,Gardens,Annandale,De Waal Park,Upper Orange,Montrose,Marmion,Chesterfield
103,Saturdays,06:25,06:28,06:32,06:35,06:37,06:38,06:40,06:43,06:45,06:46,06:48,06:49,06:50
103,Saturdays,07:00,07:03,07:07,07:10,07:12,07:13,07:15,07:18,07:20,07:21,07:23,07:24,07:25
103,Saturdays,07:35,07:38,07:42,07:45,07:47,07:48,07:50,07:53,07:55,07:56,07:58,07:59,08:00
103,Saturdays,08:10,08:13,08:17,08:20,08:22,08:23,08:25,08:28,08:30,08:31,08:33,08:34,08:35
103,Saturdays,08:45,08:48,08:52,08:55,08:57,08:58,09:00,09:03,09:05,09:06,09:08,09:09,09:10
103,Saturdays,09:20,09:23,09:27,09:30,09:32,09:33,09:35,09:38,09:40,09:41,09:43,09:44,09:45
103,Saturdays,09:55,09:58,10:02,10:05,10:07,10:08,10:10,10:13,10:15,10:16,10:18,10:19,10:20
103,Saturdays,10:30,10:33,10:37,10:40,10:42,10:43,10:45,10:48,10:50,10:51,10:53,10:54,10:55
103,Saturdays,11:05,11:08,11:12,11:15,11:17,11:18,11:20,11:23,11:25,11:26,11:28,11:29,11:30
103,Saturdays,11:40,11:43,11:47,11:50,11:52,11:53,11:55,11:58,12:00,12:01,12:03,12:04,12:05
103,Saturdays,12:15,12:18,12:22,12:25,12:27,12:28,12:30,12:33,12:35,12:36,12:38,12:39,12:40
103,Saturdays,12:50,12:53,12:57,13:00,13:02,13:03,13:05,13:08,13:10,13:11,13:13,13:14,13:15
103,Saturdays,13:25,13:28,13:32,13:35,13:37,13:38,13:40,13:43,13:45,13:46,13:48,13:49,13:50
103,Saturdays,14:00,14:03,14:07,14:10,14:12,14:13,14:15,14:18,14:20,14:21,14:23,14:24,14:25
103,Saturdays,14:35,14:38,14:42,14:45,14:47,14:48,14:50,14:53,14:55,14:56,14:58,14:59,15:00
103,Saturdays,15:10,15:13,15:17,15:20,15:22,15:23,15:25,15:28,15:30,15:31,15:33,15:34,15:35
103,Saturdays,15:45,15:48,15:52,15:55,15:57,15:58,16:00,16:03,16:05,16:06,16:08,16:09,16:10
103,Saturdays,16:20,16:23,16:27,16:30,16:32,16:33,16:35,16:38,16:40,16:41,16:43,16:44,16:45
103,Saturdays,16:55,16:58,17:02,17:05,17:07,17:08,17:10,17:13,17:15,17:16,17:18,17:19,17:20
103,Saturdays,17:30,17:33,17:37,17:40,17:42,17:43,17:45,17:48,17:50,17:51,17:53,17:54,17:55
103,Saturdays,18:05,18:08,18:12,18:15,18:17,18:18,18:20,18:23,18:25,18:26,18:28,18:29,18:30
103,Saturdays,18:40,18:43,18:47,18:50,18:52,18:53,18:55,18:58,19:00,19:01,19:03,19:04,19:05
103,Sundays and Public Holidays,05:50,05:53,05:57,06:00,06:02,06:03,06:05,06:08,06:10,06:11,06:13,06:14,06:15
103,Sundays and Public Holidays,06:25,06:28,06:32,06:35,06:37,06:38,06:40,06:43,06:45,06:46,06:48,06:49,06:50
103,Sundays and Public Holidays,07:00,07:03,07:07,07:10,07:12,07:13,07:15,07:18,07:20,07:21,07:23,07:24,07:25
103,Sundays and Public Holidays,07:35,07:38,07:42,07:45,07:47,07:48,07:50,07:53,07:55,07:56,07:58,07:59,08:00
103,Sundays and Public Holidays,08:10,08:13,08:17,08:20,08:22,08:23,08:25,08:28,08:30,08:31,08:33,08:34,08:35
103,Sundays and Public Holidays,08:45,08:48,08:52,08:55,08:57,08:58,09:00,09:03,09:05,09:06,09:08,09:09,09:10
103,Sundays and Public Holidays,09:20,09:23,09:27,09:30,09:32,09:33,09:35,09:38,09:40,09:41,09:43,09:44,09:45
103,Sundays and Public Holidays,09:55,09:58,10:02,10:05,10:07,10:08,10:10,10:13,10:15,10:16,10:18,10:19,10:20
103,Sundays and Public Holidays,10:30,10:33,10:37,10:40,10:42,10:43,10:45,10:48,10:50,10:51,10:53,10:54,10:55
103,Sundays and Public Holidays,11:05,11:08,11:12,11:15,11:17,11:18,11:20,11:23,11:25,11:26,11:28,11:29,11:30
103,Sundays and Public Holidays,11:40,11:43,11:47,11:50,11:52,11:53,11:55,11:58,12:00,12:01,12:03,12:04,12:05
103,Sundays and Public Holidays,12:15,12:18,12:22,12:25,12:27,12:28,12:30,12:33,12:35,12:36,12:38,12:39,12:40
103,Sundays and Public Holidays,12:50,12:53,12:57,13:00,13:02,13:03,13:05,13:08,13:10,13:11,13:13,13:14,13:15
103,Sundays and Public Holidays,13:25,13:28,13:32,13:35,13:37,13:38,13:40,13:43,13:45,13:46,13:48,13:49,13:50
103,Sundays and Public Holidays,14:00,14:03,14:07,14:10,14:12,14:13,14:15,14:18,14:20,14:21,14:23,14:24,14:25
103,Sundays and Public Holidays,14:35,14:38,14:42,14:45,14:47,14:48,14:50,14:53,14:55,14:56,14:58,14:59,15:00
103,Sundays and Public Holidays,15:10,15:13,15:17,15:20,15:22,15:23,15:25,15:28,15:30,15:31,15:33,15:34,15:35
103,Sundays and Public Holidays,15:45,15:48,15:52,15:55,15:57,15:58,16:00,16:03,16:05,16:06,16:08,16:09,16:10
103,Sundays and Public Holidays,16:20,16:23,16:27,16:30,16:32,16:33,16:35,16:38,16:40,16:41,16:43,16:44,16:45
103,Sundays and Public Holidays,16:55,16:58,17:02,17:05,17:07,17:08,17:10,17:13,17:15,17:16,17:18,17:19,17:20
103,Sundays and Public Holidays,17:30,17:33,17:37,17:40,17:42,17:43,17:45,17:48,17:50,17:51,17:53,17:54,17:55
103,Sundays and Public Holidays,18:05,18:08,18:12,18:15,18:17,18:18,18:20,18:23,18:25,18:26,18:28,18:29,18:30
103,Sundays and Public Holidays,18:40,18:43,18:47,18:50,18:52,18:53,18:55,18:58,19:00,19:01,19:03,19:04,19:05
